Function                           CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module        Function (Full)                    Source File  Start Address
---------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------  ---------------------------------  -----------  -------------
gomp_mutex_lock_slow               222.970s                       0s                            0s                            0s                          0s                             0s                            0s            222.970s                                               0s                            222.970s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_mutex_lock_slow               [Unknown]    0x1d260      
__strcmp_sse42                      48.092s                  48.092s                            0s                        2.452s                     45.639s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcmp_sse42                     [Unknown]    0x13e6f0     
handleEpsilon._omp_fn.0             23.089s                  23.089s                            0s                        1.050s                     22.039s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon._omp_fn.0            [Unknown]    0x402b6d     
GOMP_critical_start                  7.811s                   7.811s                            0s                        7.771s                      0.040s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_start                [Unknown]    0xc800       
GOMP_critical_end                    6.240s                   6.240s                            0s                        6.210s                      0.030s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_end                  [Unknown]    0xc820       
determineNextStates._omp_fn.0        0.879s                   0.879s                            0s                        0.669s                      0.210s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       determineNextStates._omp_fn.0      [Unknown]    0x402891     
gomp_barrier_wait_end                0.710s                       0s                            0s                            0s                          0s                             0s                            0s              0.710s                                           0.710s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_barrier_wait_end              [Unknown]    0x1d940      
[Import thunk strcmp]                0.660s                   0.660s                            0s                        0.050s                      0.610s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk strcmp]              [Unknown]    0x400e00     
gomp_iter_dynamic_next               0.190s                   0.190s                            0s                        0.150s                      0.040s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_iter_dynamic_next             [Unknown]    0xd260       
gomp_team_barrier_wait_end           0.110s                       0s                            0s                            0s                          0s                             0s                            0s              0.110s                                           0.110s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_barrier_wait_end         [Unknown]    0x1dac0      
printf                               0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     printf                             [Unknown]    0x532a0      
parseTransitions                     0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       parseTransitions                   [Unknown]    0x401994     
