Function                           CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module        Function (Full)                    Source File  Start Address
---------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------  ---------------------------------  -----------  -------------
gomp_mutex_lock_slow                74.670s                       0s                            0s                            0s                          0s                             0s                            0s             74.670s                                               0s                             74.670s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_mutex_lock_slow               [Unknown]    0x1d260      
__strcmp_sse42                      43.830s                  43.830s                            0s                       43.830s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcmp_sse42                     [Unknown]    0x13e6f0     
handleEpsilon._omp_fn.0             21.700s                  21.700s                            0s                       21.700s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon._omp_fn.0            [Unknown]    0x402b6d     
GOMP_critical_start                  4.470s                   4.470s                            0s                        4.470s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_start                [Unknown]    0xc800       
GOMP_critical_end                    3.900s                   3.900s                            0s                        3.900s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_end                  [Unknown]    0xc820       
[Import thunk strcmp]                0.790s                   0.790s                            0s                        0.790s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk strcmp]              [Unknown]    0x400e00     
determineNextStates._omp_fn.0        0.740s                   0.740s                            0s                        0.740s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       determineNextStates._omp_fn.0      [Unknown]    0x402891     
gomp_iter_dynamic_next               0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_iter_dynamic_next             [Unknown]    0xd260       
gomp_barrier_wait_end                0.110s                       0s                            0s                            0s                          0s                             0s                            0s              0.110s                                           0.110s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_barrier_wait_end              [Unknown]    0x1d940      
